,20~75,75~150
AVG_MONTHLY_POPULATION,0.22393721654308196,-0.014228982338360193
NEAREST_STATION_INFO_count,0.025151046319621943,0.12735924750655542
DISTANCE_VALUE,0.02950364205048082,0.05663312693812913
RATING_CNT,0.01121465425829945,-0.007160638325579369
RATING_SCORE,0.14969432875851107,-0.14768276919359202
IS_FAMILY_FRIENDLY,0.19272402000103012,-0.22277523165179183
IS_FRIEND_FRIENDLY,-0.10119543124373095,0.34867425029120513
IS_ALONE_FRIENDLY,-0.09043465434108101,-0.015464186418149993
DINNER_INFO,0.1498124059564101,-0.36522769687572104
LUNCH_INFO,0.4117610082565698,-0.17238559592102684
DINNER_PRICE,0.195407813229865,-0.045234418611096734
LUNCH_PRICE,0.21028064547318773,0.08955345374184288
HOLIDAY,0.07357794887200544,0.14951135338535926
HOME_PAGE_URL,0.006402855705733776,0.21747105946961337
PHONE_NUM,0.029352682575390712,0.10552033085326162
NUM_SEATS,-0.09818798575993806,-0.053748341991678265
AGE_RESTAURANT,0.06706679004177223,0.5914877037879329
CITY_count,0.10754785930459829,0.3262871963900982
rate_count,-0.010850814994559057,-0.020915248606267617
seats_rate_count,-0.06562332085985602,-0.03563828461019012
