,k=3,k=4,k=5,k=6
ダイニングバー,0.6910977026879407,0.4857965195616452,0.4361316716613145,0.43337783058852314
バル,0.6905761587232161,0.4210788925224974,0.4294913520249804,0.44097382924966416
ピザ,0.6641420651188246,0.49297668425158747,0.5008406905519387,0.5075721552068198
ステーキ,0.6388559349754382,0.5802776924872041,0.5536790055406244,0.45549523974565603
その他,0.6356545010215762,0.4451817159735611,0.4542574660296884,0.3866308609411083
食堂,0.6046683901694149,0.5629129041024793,0.4086564327201026,0.40451449026273456
焼き鳥,0.5937546827553087,0.4704553249271298,0.48191898018571006,0.44578822497267184
バー,0.5866543336739498,0.4883096352199907,0.4281876187555984,0.41684503388230254
もんじゃ焼き,0.5770845732970353,0.4529693901182358,0.46842697130808775,0.46492601892845276
中華料理,0.5755127289742751,0.5715867006481196,0.47606233094918626,0.4764126543054202
カフェ,0.5738428784078007,0.44561864651921784,0.47320538073542345,0.465022939413749
イタリアン,0.5696648825213262,0.4563261449566561,0.46269479689056925,0.4201329770627555
ラーメン,0.5681830609017495,0.4843214331588186,0.45071761099251345,0.4282260476350291
ビストロ,0.5667182407247482,0.5390486803597277,0.5393651993070652,0.5474839571998877
もつ焼き,0.5612838284704184,0.43214028110137914,0.4546512963624382,0.37877738118352816
焼鳥,0.56028006032562,0.44317743152267397,0.4081389159370977,0.41404480819632444
居酒屋,0.5505522872445374,0.4388494268844145,0.44635391980237527,0.39643166754295545
そば,0.5471467780638605,0.5315161529263082,0.4692855424398911,0.4592554725056614
タイ料理,0.5449248953329253,0.43648552305405947,0.4505554745918753,0.413661318844292
とんかつ,0.5384589107493047,0.4633666168254094,0.4426851190439855,0.42218299226000444
焼肉,0.5346512021649293,0.4095998842345627,0.4292810394386663,0.3932336720716546
ハンバーガー,0.5280510972084987,0.4087500727151884,0.4701019347422564,0.40427154052844605
串揚げ,0.527512561081599,0.40564476504419344,0.4134241468674178,0.4157247986467307
寿司,0.520505252242729,0.49705057644483674,0.48981605386814725,0.41498306297189624
日本料理,0.518707756045923,0.46631187549115544,0.4462216205165395,0.45690277031797305
うなぎ,0.5184896307698216,0.47971368112817364,0.3904954983340087,0.4262344871753457
天ぷら,0.515353399055873,0.43451582904518377,0.400361780216687,0.41741996059907294
海鮮,0.5129672393878704,0.4860143171786451,0.47705838980605614,0.46603311263734953
洋食,0.499501154374116,0.48859654378163225,0.40372100736231364,0.48047325619796816
ホルモン,0.4647299485967266,0.3773872019762489,0.3762547610855861,0.3859163864203276
韓国料理,0.45963166197136873,0.3693179913441579,0.3875510584706939,0.4038346269389261
鉄板焼き,0.4479683865775128,0.38194575222052174,0.40814799885404546,0.423738247628025
お好み焼き,0.41774437489148836,0.4108093584728011,0.4212060014855639,0.3909959612507883
牛タン,0.41262404925404833,0.3431363363813692,0.3940633530020476,0.3634995806549675
餃子,0.38447032586437563,0.43956837052646247,0.44387288702728206,0.40536733759873306
